model_id,model_label,grouping_id,observations,mean_quantile_loss_95,mean_quantile_loss_99,mean_fz0_975,exceptions_95,exception_rate_95,exceptions_975,exception_rate_975,exceptions_99,exception_rate_99,average_primary_score_rank,overall_rank,adjusted_calibration_rejection_count,systematic_calibration_failure
M0,Historical simulation,none,1508,0.00152700693737,0.000584078218181,-3.193083212,58,0.0384615384615,28,0.0185676392573,16,0.0106100795756,5,5,2,true
M1,GICS + Gaussian,gics,1508,0.00127584339995,0.000407251123382,-3.59480129178,87,0.0576923076923,51,0.0338196286472,23,0.0152519893899,3.66666666667,4,0,false
M2,GICS + vine,gics,1508,0.00128376224408,0.000405488137513,-3.59646825667,91,0.0603448275862,49,0.0324933687003,22,0.0145888594164,3.33333333333,3,0,false
M3,Hierarchical + Gaussian,hierarchical,1508,0.00126629238431,0.000387859240069,-3.61224796418,91,0.0603448275862,53,0.0351458885942,24,0.0159151193634,1.66666666667,2,0,false
M4,Hierarchical + vine,hierarchical,1508,0.00127158758494,0.0003846885428,-3.61639110633,94,0.0623342175066,56,0.0371352785146,24,0.0159151193634,1.33333333333,1,0,false
